ANTIOQUIA	229	304	141.898			
BOLIVAR	291	225	734	
BOYACA	347	356	7.780			
CALDAS	242	364	68.670			
CAQUETA	306	591	5.280			
CASANARE	423	359	1.629			
CAUCA	164	502	102.147			
CESAR	329	148	14.943			
CHOCO	164	361	181		
CUNDINAMARCA	298	379	32.580			
HUILA	229	496	136.161		
LA GUAJIRA	373	71	2.990			
MAGDALENA	285	135	10.826			
META	352	465	3.877			
NARIÑO	114	547	35.679			
NORTE DE SANTANDER	354	233	23.471			
PUTUMAYO	203	595	289		
QUINDIO	218	407	17.739			
RISARALDA	203	373	45.918			
SANTANDER	329	304	55.918			
TOLIMA	242	433	97.451		
VALLE DEL CAUCA	176	445	49.667			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
